Fecha,Cartera_Hipotecaria,Modelo_proyeccion,Intervalo_inferior,intervalo_superior
01/05/2007,105575.7853,102319.7853,74540.40888,130099.1618
01/06/2007,107980.9578,104724.9578,76945.58135,132504.3342
01/07/2007,110725.4118,107469.4118,79690.03537,135248.7882
01/08/2007,113433.1631,110177.1631,82397.78663,137956.5395
01/09/2007,115824.5778,112568.5778,84789.20132,140347.9542
01/10/2007,116212.3023,112956.3023,85176.92582,140735.6787
01/11/2007,120078.5893,116822.5893,89043.21282,144601.9657
01/12/2007,118063.9706,114807.9706,87028.59415,142587.347
01/01/2008,121819.6221,118563.6221,90784.24567,146342.9985
01/02/2008,123329.8292,120073.8292,92294.45274,147853.2056
01/03/2008,124603.6259,121347.6259,93568.24942,149127.0023
01/04/2008,126116.0042,122860.0042,95080.62773,150639.3806
01/05/2008,127769.6097,124513.6097,96734.23321,152292.9861
01/06/2008,129449.2357,126193.2357,98413.85926,153972.6121
01/07/2008,130727.8939,130530.8301,102751.4536,158310.2065
01/08/2008,126646.2046,126455.2936,98675.9172,154234.6701
01/09/2008,128967.6206,128487.7576,100708.3812,156267.134
01/10/2008,130359.5252,130216.1388,102436.7623,157995.5152
01/11/2008,131648.464,131792.8985,104013.5221,159572.2749
01/12/2008,127054.957,126793.317,99013.94053,154572.6934
01/01/2009,129194.5509,128928.5049,101149.1284,156707.8813
01/02/2009,129898.4378,129564.2023,101784.8259,157343.5788
01/03/2009,130364.1784,130068.8298,102289.4533,157848.2062
01/04/2009,130605.6132,130691.0518,102911.6753,158470.4282
01/05/2009,130995.7159,130495.0486,102715.6721,158274.425
01/06/2009,131447.6025,131098.7292,103319.3528,158878.1057
01/07/2009,132233.4311,131817.1427,104037.7663,159596.5192
01/08/2009,126240.6293,126242.4998,98463.12332,154021.8762
01/09/2009,126784.757,127040.2898,99260.91336,154819.6662
01/10/2009,127400.2527,127606.7205,99827.34402,155386.0969
01/11/2009,128048.1211,128443.9881,100664.6117,156223.3645
01/12/2009,128865.7568,129321.701,101542.3246,157101.0775
01/01/2010,130508.3434,131088.6538,103309.2774,158868.0302
01/02/2010,130965.687,131961.8816,104182.5052,159741.2581
01/03/2010,131614.4769,133006.559,105227.1826,160785.9354
01/04/2010,132238.138,133445.7806,105666.4041,161225.157
01/05/2010,132722.8719,133445.1434,105665.767,161224.5199
01/06/2010,133588.1021,134013.065,106233.6885,161792.4414
01/07/2010,134393.1733,134489.1807,106709.8042,162268.5571
01/08/2010,135235.2891,135040.2014,107260.8249,162819.5778
01/09/2010,136208.306,135943.7892,108164.4128,163723.1657
01/10/2010,137116.5332,137395.7196,109616.3432,165175.096
01/11/2010,138521.7689,138678.7291,110899.3526,166458.1055
01/12/2010,139798.0994,139487.7769,111708.4004,167267.1533
01/01/2011,134683.4055,134384.4365,106605.0601,162163.813
01/02/2011,135191.5093,135066.3784,107287.002,162845.7549
01/03/2011,135753.854,135499.3906,107720.0142,163278.7671
01/04/2011,136026.7693,136113.4537,108334.0773,163892.8301
01/05/2011,136380.9568,135719.0876,107939.7112,163498.4641
01/06/2011,136698.7189,136334.1463,108554.7699,164113.5228
01/07/2011,136916.4669,137172.2373,109392.8609,164951.6138
01/08/2011,137468.9432,137575.8264,109796.45,165355.2029
01/09/2011,137978.2933,138089.5325,110310.1561,165868.909
01/10/2011,138563.4752,138762.4647,110983.0883,166541.8411
01/11/2011,139341.6685,140460.8625,112681.4861,168240.239
01/12/2011,140511.8059,141730.51,113951.1336,169509.8865
01/01/2012,142107.8121,142856.3706,115076.9942,170635.747
01/02/2012,142789.0344,143341.5416,115562.1652,171120.9181
01/03/2012,143295.0933,143545.3938,115766.0173,171324.7702
01/04/2012,143604.1418,144011.759,116232.3826,171791.1355
01/05/2012,143943.0556,144478.1666,116698.7901,172257.543
01/06/2012,144268.9347,145340.6632,117561.2867,173120.0396
01/07/2012,144599.8763,146353.7149,118574.3384,174133.0913
01/08/2012,144939.0982,146997.5165,119218.1401,174776.893
01/09/2012,145586.3479,147847.5141,120068.1377,175626.8905
01/10/2012,145896.2167,148792.722,121013.3456,176572.0984
01/11/2012,146264.4467,150001.4757,122222.0992,177780.8521
01/12/2012,146446.6119,150559.1876,122779.8111,178338.564
01/01/2013,147222.3417,151288.2506,123508.8741,179067.627
01/02/2013,147381.3931,152241.7818,124462.4054,180021.1583
01/03/2013,147791.3787,153572.6842,125793.3077,181352.0606
01/04/2013,147707.2071,154362.8453,126583.4689,182142.2217
01/05/2013,148033.3748,154551.4495,126772.0731,182330.826
01/06/2013,144046.5819,150389.1137,122609.7373,178168.4901
01/07/2013,144193.6153,150057.0851,122277.7087,177836.4616
01/08/2013,144557.6615,150683.4022,122904.0257,178462.7786
01/09/2013,144621.3199,150975.8656,123196.4892,178755.2421
01/10/2013,144961.552,151897.7336,124118.3572,179677.1101
01/11/2013,145549.3695,153522.2427,125742.8663,181301.6191
01/12/2013,146153.4852,154540.896,126761.5196,182320.2725
01/01/2014,147112.591,156135.1799,128355.8035,183914.5564
